life_zone,band,rank,complex_id,name,composite,top3_share,volume,crash_rel,lead,explain
Z11680-자곡동,84,2,4136,강남자곡힐스테이트아파트,0.6,1.0,6.3333,0.0,0.0031,0.9288
Z11680-자곡동,84,3,4139,래미안포레,0.2,1.0,3.1667,-0.1881,-0.6297,0.732
Z11680-수서동,84,1,4168,강남데시앙포레,0.85,1.0,7.0833,-0.0261,0.0636,0.9476
Z11680-수서동,84,2,4163,수서삼성,0.7,1.0,6.75,0.0,0.0623,0.9297
Z11680-수서동,84,3,4258,잠실한솔,0.4,0.0536,4.75,0.2064,-0.011,0.8081
Z11710-가락동,84,1,4263,헬리오시티아파트,0.8726,1.0,68.5417,0.0334,0.1236,0.8889
Z11710-가락동,84,2,4295,올림픽훼밀리타운,0.8183,1.0,23.9583,0.0145,0.0674,0.8831
Z11710-가락동,84,3,4355,이편한세상 송파파크센트럴,0.7729,0.0,9.0417,0.1027,0.056,0.9494
Z11740-길동,84,1,4407,고덕자이 아파트,0.7956,0.0167,18.625,0.0093,0.2017,0.941
Z11740-길동,84,2,4396,고덕 그라시움 아파트,0.7926,1.0,30.8333,0.0618,0.1494,0.8659
Z11740-길동,84,3,4409,고덕 아르테온 아파트,0.7901,0.9667,48.875,0.0104,0.1256,0.9059
Z11740-천호동,84,1,4487,래미안강동팰리스,0.8429,1.0,19.6667,0.0,0.1081,0.833
Z11740-천호동,84,2,4490,천호태영,0.5524,0.0909,4.9167,-0.003,0.0566,0.9398
Z11740-천호동,84,3,4495,천호e-편한세상,0.5381,0.0182,6.2083,0.0229,0.0673,0.7445
Z11740-강일동,84,1,8155,미사강변센트럴풍경채아파트,0.7801,0.6167,11.5833,0.004,0.1271,0.9557
Z11740-강일동,84,2,8161,e-편한세상 미사 아파트,0.728,0.0,16.4167,0.0293,0.0495,0.9759
Z11740-강일동,84,3,8153,미사강변 파밀리에,0.6817,0.0167,10.9583,0.0452,0.0506,0.9187
Z41111-정자동,84,1,4540,화서역 파크 푸르지오,0.7439,0.7833,34.0,,0.3956,0.1707
Z41111-정자동,84,2,4544,수원SK스카이뷰,0.7267,1.0,28.7917,-0.0034,0.1738,0.8163
Z41111-정자동,84,3,4785,꽃뫼버들마을 코오롱아파트,0.7241,0.05,9.9583,0.032,0.0797,0.9062
Z41113-세류동,84,1,4629,권선데시앙,0.9,0.898,3.75,0.0777,0.0759,0.854
Z41113-세류동,84,2,4630,세류현대,0.5625,0.5102,1.5,,0.0599,0.8549
Z41113-세류동,84,3,4631,세류삼익,0.55,0.6735,1.3333,-0.092,0.0617,0.9061
Z41113-금곡동,84,1,4676,호반베르디움더센트럴아파트,0.7952,0.9833,20.0833,0.0181,0.3354,0.8504
Z41113-금곡동,84,2,4702,호매실경남아너스빌,0.7471,0.0,17.0833,0.0023,-0.0002,0.9605
Z41113-금곡동,84,3,4675,수원 모아미래도센트럴타운,0.7224,0.8667,16.25,0.0254,0.3122,0.7812
Z41113-권선동,84,1,4864,매탄위브하늘채,0.7938,0.0,40.75,-0.0002,0.1781,0.9289
Z41113-권선동,84,2,4749,수원시청역SK뷰,0.7222,0.0,10.875,0.0754,0.1309,0.9157
Z41113-권선동,84,3,4872,광교더샵,0.6973,1.0,7.75,0.0172,0.3184,0.7933
Z41113-당수동,84,1,4755,서수원레이크푸르지오2단지,0.8,0.9167,8.5417,0.036,0.0443,0.9513
Z41113-당수동,84,2,4756,서수원레이크푸르지오1단지,0.72,0.9167,4.875,0.0297,0.0877,0.9512
Z41113-당수동,84,3,4754,서수원자이,0.6,1.0,14.0417,-0.0233,0.0212,0.912
Z41115-매교동,84,1,4767,매교역푸르지오SK뷰아파트,0.75,1.0,32.4583,,0.3176,0.5503
Z41115-매교동,84,2,4766,힐스테이트푸르지오수원아파트,0.5,1.0,16.75,,0.2398,0.8864
Z41115-매교동,84,3,4768,건영캐스빌,0.3,1.0,1.6667,0.0,-0.7947,-0.1912
Z41117-이의동,84,1,4895,광교자연앤힐스테이트,0.8615,1.0,45.0417,0.0679,0.1948,0.8921
Z41117-이의동,84,2,4900,광교센트럴뷰아파트,0.8615,0.95,28.25,0.0125,0.1882,0.956
Z41117-이의동,84,3,4908,광교더리브아파트,0.6154,0.1333,23.0,-0.0663,0.0419,0.9605
Z41117-망포동,84,1,4952,영통아이파크캐슬1단지,0.7893,1.0,19.9167,0.0382,0.2741,0.869
Z41117-망포동,84,2,4954,힐스테이트 영통아파트,0.772,1.0,31.4583,0.1148,0.2255,0.5286
Z41117-망포동,84,3,4953,영통아이파크캐슬2단지 아파트,0.7107,0.4333,13.875,0.1062,0.4093,0.7185
Z41131-신흥동,84,1,5093,중앙동힐스테이트2차,0.7075,0.2833,10.0,-0.0192,0.027,0.9213
Z41131-신흥동,84,2,4985,산성역 포레스티아 아파트,0.6984,1.0,23.375,-0.022,0.2387,0.7872
Z41131-신흥동,84,3,5082,하대원아튼빌,0.683,0.0,10.5417,0.0082,0.0787,0.9112
Z41135-야탑동,84,1,5154,시범현대아파트,0.7969,0.2833,12.3333,0.0486,-0.001,0.9235
Z41135-야탑동,84,2,5153,서현시범한양,0.779,0.3833,5.7917,0.0685,-0.0132,0.9476
Z41135-야탑동,84,3,5159,이매아름마을선경,0.7672,0.4167,4.5,0.0373,0.038,0.9121
Z41135-정자동,84,1,5236,백현마을5단지(주공),0.7429,1.0,15.1667,-0.043,0.0272,0.9555
Z41135-정자동,84,2,5136,분당 파크뷰,0.7143,0.9474,9.2917,0.0784,0.0384,0.8602
Z41135-정자동,84,3,5246,금곡청솔마을대원,0.6857,0.0526,3.4583,0.0122,0.0521,0.9361
Z41135-대장동,84,1,5304,판교풍경채 어바니티7단지,0.625,1.0,11.125,,-0.0732,0.9609
Z41135-대장동,84,2,5303,판교풍경채어바니티5단지아파트,0.5,1.0,11.8333,0.0971,-0.0862,0.9507
