no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
801,도봉구,가로주택정비,창동 529-1번지 일원 가로주택정비사업조합,창동 529-1,조합설립인가,changdong4,320900001483d86,11320-900001483,,,,,,,,20250904,,,,,,,,
800,도봉구,가로주택정비,신창연립가로주택정비사업,창동 581-3,조합설립인가,shinchang581,320900000880X44,11320-900000880,,,,,,,,20211129,,,,,,,,
799,도봉구,가로주택정비,창동 신건영빌리지 일대 가로주택정비사업조합,창동 715-25,조합설립인가,sgygaro,320900001420W25,11320-900001420,,,,,,,,,,,,,,,,
798,동대문구,재개발(주택정비형),답십리제17구역 주택재개발정비사업,답십리동 12,이전고시,seoulhousing,230900000913U63,11230-900000913,,,,,,,,20200305,,,,20200305,,,20250325,
797,동대문구,재개발(주택정비형),답십리제14구역주택재개발정비사업조합,답십리동 25,조합해산,dapsimni14,230100003005m35,11230-100003005,,,,,,20040503,,20070803,,20090409,,20140414,20160610,,20190122,
796,동대문구,재개발(주택정비형),답십리자동차부품상가 도시정비형 재개발정비사업조합,답십리동 952,사업시행인가,dap952,230900000765B88,11230-900000765,,,,,,20200925,,20211001,,20250403,,,,,,
795,동대문구,재개발(도시정비형),신설동역세권 장기전세주택 도시정비형 재개발사업,신설동 91-1,추진위원회승인,sinseolsia8804,230900001446k11,11230-900001446,,,,,,20260225,,,,,,,,,,
794,동대문구,재개발(주택정비형),신설1구역 주택정비형 공공재개발사업(LH),신설동 92-5,사업시행인가,sinsel1,230100003008n62,11230-100003008,,,,,,20050706,,20210722,,20250418,,,,,,
793,동대문구,재개발(도시정비형),용두1구역(6지구) 공공재개발사업,용두동 14-1,조합설립인가,dyden1-6,230900000889n83,11230-900000889,,,,,,20210714,,20210714,,,,,,,,
792,동대문구,재개발(주택정비형),용두1도시환경정비구역 제5지구 재개발정비사업조합,용두동 23-1,조합설립인가,yongdu5jigu,230900000737e32,11230-900000737,,,,,,20191112,,20260319,,,,,,,,
791,동대문구,재개발(도시정비형),용두1구역(4지구) 도시정비형재개발사업(지정개발자방식),용두동 26-3,사업시행인가,yongdu4,230900001211X36,11230-900001211,,,,,,,,,,,,,,,,
790,동대문구,재개발(주택정비형),용두동 39-361번지 일대 주택정비형 재개발사업,용두동 39-361,추진위원회승인,dyden3,230900001488R08,11230-900001488,,,,,,20260430,,,,,,,,,,
789,동대문구,재개발(도시정비형),용두제6구역 도시환경정비사업 조합설립추진위원회,용두동 52-28,조합해산,yongdoo6,230900000356X66,11230-900000356,,,,,,20120406,,,,,,,,,,
788,동대문구,재개발(도시정비형),용두제7구역 도시환경정비사업 조합설립추진위원회,용두동 53-6,추진위원회승인,yongdoo7,,,,,,,,,,,,,,,,,,
787,동대문구,재개발(주택정비형),용두제1구역주택재개발정비사업조합,용두동 80-1,조합청산,s3sxO3bw,,,,,,,,,,,,,,,,,,
786,동대문구,재개발(주택정비형),용두5구역 주택재개발정비사업조합,용두동 253,조합해산,yongdoo5,230100003004a16,11230-100003004,,,,,,20051216,,20130927,,20150910,,20170512,20181213,,20211125,
785,동대문구,재개발(주택정비형),용두제6구역 주택재개발정비사업조합,용두동 753-9,조합해산,Ur1SdI0f,230100003010j03,11230-100003010,,,,,,20060315,,20080904,,20091105,,20170929,20200507,,20220830,
784,동대문구,재개발(주택정비형),이문4재정비촉진구역 주택재개발정비사업조합,이문동 86-1,관리처분인가,a263n2N3,230100006044g95,11230-100006044,,,,,,20040623,,20170316,,20230214,,20240401,,,,
783,동대문구,재개발(주택정비형),이문3재정비촉진구역 주택재개발정비사업조합,이문동 149-8,분양,k60hG0Ds,230100006042a35,11230-100006042,,,,,,20040623,,20081203,,20151001,,20180510,20211025,,,
782,동대문구,재개발(도시정비형),신이문역세권 장기전세주택 도시정비형 재개발사업,이문동 168-1,조합설립인가,shinimoon,230900001212K76,11230-900001212,,,,,,,,,,,,,,,,
781,동대문구,재개발(도시정비형),신이문2 역세권 도시정비형 재개발정비사업,이문동 170-65,정비계획 수립,sinimoon2,230900001149k50,11230-900001149,,,,,,,,,,,,,,,,
780,동대문구,재개발(주택정비형),이문1재정비촉진구역 주택재개발정비사업조합,이문동 257-42,준공인가,b6m4gqmM,230100006043i56,11230-100006043,,,,,,20040623,,20081201,,20100225,,20170324,20210824,,20241216,
779,동대문구,재건축,장안동 현대아파트 재건축정비사업조합,장안동 95-1,관리처분인가,jangan-hyundaiapt1,230900000700H39,11230-900000700,,,,,,20180612,,20200710,,20240813,,20260618,,,,
778,동대문구,재개발(주택정비형),장안1구역 주택정비형 재개발사업,장안동 134-15,추진위원회승인,jangan1sector,230900001475e86,11230-900001475,,,,,,20260319,,,,,,,,,,
777,동대문구,재건축,장안시영2단지2차 주택재건축정비사업 조합 청산법인,장안동 329-2,조합청산,janganhillapt,230100012000L82,11230-100012000,,,,,,,,20020820,,,,20050107,,,,
776,동대문구,재건축,대성연립연합 주택재건축정비사업 조합,장안동 425-1,이전고시,ds1apt,,,,,,,,,,,,,,,,,,
775,동대문구,재건축,435대명연립 주택재건축정비사업 조합,장안동 435-2,이전고시,WmeWUlKk,,,,,,,,,,,,,,,,,,
774,동대문구,재건축,뉴장안연립 주택재건축정비사업 조합,장안동 435-4,이전고시,vx7hK1Jx,,,,,,,,,,,,,,,,,,
773,동대문구,지역주택,(가칭)전농지역주택조합,전농동 60,지구단위계획수립/건축심의/교통심의,jeonnong60,230900000893Q18,11230-900000893,,,,,,,,,,,,,,,,
772,동대문구,재개발(주택정비형),전농제9구역 주택정비형 공공재개발사업(LH),전농동 103-236,조합설립인가,lcd074,230100009003t17,11230-100009003,,,,20230201,,20111014,,20230713,,,,,,,,
771,동대문구,재개발(주택정비형),(가칭)전농제15구역 주택정비형 재개발사업,전농동 152-65,정비계획 수립,wjsshd15,230900001492G47,11230-900001492,,,,,,,,,,,,,,,,
770,동대문구,재개발(주택정비형),전농8구역주택재개발정비사업조합,전농동 204,조합설립인가,YKzmueyz,230100007000M98,11230-100007000,,,,,,20050927,,20211208,,,,,,,,
769,동대문구,재개발(도시정비형),전농13구역 도시정비형 재개발사업 조합,전농동 295,정비구역지정,jeonnong13,230900001278S49,11230-900001278,,,,,,,,,,,,,,,,
768,동대문구,재개발(도시정비형),전농도시환경정비사업조합,전농동 494,사업시행인가,pny3y2Z5,230100008000u67,11230-100008000,,,,,,,,20070622,,,,,,,,
767,동대문구,재개발(주택정비형),전농제11구역 주택재개발정비사업조합,전농동 518,조합청산,jnong11,230100003016S46,11230-100003016,,,,,,20060822,,20090106,,20111110,,20130307,20150720,,20180629,
766,동대문구,재개발(주택정비형),전농제12구역 재개발정비사업조합,전농동 643,조합설립인가,Wd7A6HX5,230900000092J30,11230-900000092,,,,,,20070131,,20220114,,,,,,,,
765,동대문구,재개발(주택정비형),제기제6구역주택재개발정비사업조합,제기동 120-104,관리처분인가,Ycf99djf,230100003013P35,11230-100003013,,,,,,20040831,,20171227,,20201224,,20231110,,,,
764,동대문구,재개발(주택정비형),제기제4구역 주택재개발정비사업조합,제기동 288,철거,Jm4L110Z,230100003011q64,11230-100003011,,,,,,20140630,,20160516,,20070913,,20220825,,,,
763,동대문구,재건축,제기1주택재건축정비구역(지정개발자방식),제기동 892-68,착공,jegi1area,230900000726J95,11230-900000726,,,,,,,,,,20210401,,20230411,20250331,,,
762,동대문구,재개발(주택정비형),청량리제9구역 주택정비형 재개발사업,청량리동 19,추진위원회승인,cheongryangri,230900001096V93,11230-900001096,,,,,,20260113,,,,,,,,,,
761,동대문구,재개발(주택정비형),청량리제7구역 주택재개발정비사업조합,청량리동 199,준공인가,cheong7,230100003014a12,11230-100003014,,,,,,20060420,,20071226,,20090402,,20200423,20221229,,,
760,동대문구,재개발(주택정비형),청량리제6구역주택재개발정비사업조합,청량리동 205,사업시행인가,dH49599v,230100003002b34,11230-100003002,,,,,,20040805,,20190507,,20241107,,,,,,
759,동대문구,재건축,청량리미주아파트 주택재건축정비사업,청량리동 235-1,조합설립인가,mizu01,230900001013Z07,11230-900001013,,,,,,20241004,,20260204,,,,,,,,
