complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
3872,래미안 원펜타스,11650,서초구,신반포15차아파트 주택재건축정비사업조합,재건축,조합청산,반포동 12,55.4
3882,반포삼호가든맨션5차,11650,서초구,삼호가든5차아파트 재건축정비사업조합,재건축,조합설립인가,반포동 30-1,52.0
3885,반포미도2차,11650,서초구,반포미도1차아파트 재건축정비사업조합,재건축,조합설립인가,반포동 60-4,77.1
3885,반포미도2차,11650,서초구,반포미도2차아파트 재건축정비사업 조합설립추진위원회,재건축,조합설립인가,반포동 60-5,93.0
3875,궁전아파트,11650,서초구,신반포궁전아파트 주택재건축정비사업조합,재건축,조합설립인가,반포동 65-1,24.1
3870,반포래미안트리니원,11650,서초구,반포아파트(제3주구) 주택재건축정비사업 조합,재건축,착공,반포동 1053,75.1
3790,방배신삼호,11650,서초구,방배신삼호아파트 재건축정비사업조합,재건축,조합설립인가,방배동 725,89.3
3792,삼호,11650,서초구,방배삼호아파트 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,방배동 758-4,29.2
3767,래미안 원페를라,11650,서초구,방배6구역 주택재건축 정비사업 조합,재건축,이전고시,방배동 818-14,3.8
3776,방배서리풀그랑블아파트,11650,서초구,방배7구역 주택재건축정비사업조합,재건축,사업시행인가,방배동 891-3,137.2
3778,방배아트자이,11650,서초구,서초중앙하이츠2구역 주택재건축정비사업조합,재건축,사업시행인가,방배동 1000-3,108.6
3778,방배아트자이,11650,서초구,서초중앙하이츠1구역 주택재건축정비사업조합,재건축,사업시행인가,방배동 1000-4,124.6
3798,방배임광3차,11650,서초구,임광3차아파트 재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,방배동 1010-1,15.4
3778,방배아트자이,11650,서초구,방배삼익아파트 주택재건축정비사업조합,재건축,분양,방배동 1018-1,93.7
3785,방배대우효령,11650,서초구,방배대우효령아파트 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,방배동 1038,63.4
3943,서초진흥,11650,서초구,서초진흥아파트 주택재건축정비사업조합,재건축,조합설립인가,서초동 1315,72.5
3921,래미안서초에스티지에스아파트,11650,서초구,우성2차아파트 주택재건축정비사업조합,재건축,조합해산,서초동 1331,113.5
3911,서초그랑자이,11650,서초구,서초무지개아파트 재건축정비사업 조합,재건축,조합청산,서초동 1335,143.2
3825,우면한라,11650,서초구,우면한라아파트 재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,우면동 67,54.6
3829,오티에르신반포,11650,서초구,신반포18차 337동 주택재건축정비사업조합,재건축,준공인가,잠원동 49-17,44.4
3865,신반포한신5지구(12차),11650,서초구,신반포12차아파트 재건축정비사업조합,재건축,관리처분인가,잠원동 50-5,48.3
3836,신반포르엘,11650,서초구,신반포18차24차 주택재건축정비사업조합,재건축,조합청산,잠원동 52,47.0
3860,강변아파트,11650,서초구,신반포16차아파트 주택재건축정비사업조합,재건축,관리처분인가,잠원동 55-10,86.2
3861,"신반포 한신 25,26,27차 아파트",11650,서초구,신반포27차아파트 주택재건축정비사업조합,재건축,관리처분인가,잠원동 56-2,15.1
3855,잠원신화,11650,서초구,잠원동 대림아파트 주택재건축 정비사업 조합,재건축,조합청산,잠원동 57,68.6
3830,오티에르반포,11650,서초구,신반포21차아파트 주택재건축정비사업조합,재건축,준공인가,잠원동 59-10,28.0
3831,메이플자이,11650,서초구,신반포4지구 재건축정비사업조합,재건축,준공인가,잠원동 60-3,114.6
3839,신반포20차아파트,11650,서초구,신반포20차아파트 주택재건축정비사업조합,재건축,조합설립인가,잠원동 60-78,67.6
3861,"신반포 한신 25,26,27차 아파트",11650,서초구,신반포25차아파트주택재건축정비사업조합설립추진위원회,재건축,추진위원회승인,잠원동 61-1,100.4
3858,신반포한신19차,11650,서초구,신반포19차 25차(아) 재건축정비사업조합,재건축,조합설립인가,잠원동 61-2,29.5
3863,신반포7차,11650,서초구,신반포7차아파트주택재건축정비사업조합,재건축,조합설립인가,잠원동 65-32,95.1
3834,블루힐하우스,11650,서초구,신반포22차아파트 주택재건축정비사업조합,재건축,착공,잠원동 65-33,87.6
3843,신반포자이아파트,11650,서초구,반포한양아파트 주택재건축정비사업조합,재건축,조합청산,잠원동 66,87.3
3866,신반포4차,11650,서초구,신반포4차아파트 재건축정비사업조합,재건축,조합설립인가,잠원동 70,279.4
1332,마장세림,11200,성동구,마장세림아파트 주택재건축사업,재건축,조합설립인가,마장동 784,93.0
1411,서울숲대림아파트,11200,성동구,장미아파트 주택재건축정비사업 조합설립추진위원회,재건축,추진위원회승인,성수동1가 656-421,140.6
1411,서울숲대림아파트,11200,성동구,장미아파트주택재건축정비사업,재건축,착공,성수동1가 656-421,140.6
