kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
일반,충남,아산시,인주일반산업단지(3공구),1817,822,2019-11-14,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,경기,김포시,학운5일반산업단지,893,502,2019-11-25,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,경기,김포시,학운7일반산업단지,187,118,2019-12-11,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,충남,공주시,동현일반산업단지,801,205,2019-12-20,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,충북,충주시,산척일반산업단지,132,88,2019-12-27,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,경남,창원시,평성일반산업단지,696,270,2019-12-31,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,충북,청주시,남청주현도일반산업단지,1051,355,2020-01-31,,한국산업단지공단_전국산업단지현황통계_20200617.xlsx
도시첨단,부산,북구,금곡도시첨단산업단지,46,17,2020-03-18,,한국산업단지공단_전국산업단지현황통계_20200617.xlsx
도시첨단,충남,천안시,천안직산도시첨단산업단지,334,200,2020-03-27,,한국산업단지공단_전국산업단지현황통계_20200617.xlsx
일반,경기,파주시,파평일반산업단지,593,391,2020-05-15,,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,충남,천안시,성거일반산업단지,306,208,2020-06-11,,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,광주,북구,"광주연구개발특구첨단3지구산업단지
(광주경제자유구역)",3617,1136,2020-06-25,,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,전남,무안군,무안항공특화산업단지,350,273,2020-06-30,,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,경기,오산시,오산가장제3일반산업단지,165,104,2020-07-17,,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,충북,음성군,용산산업단지,1041,625,2020-08-28,,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,충북,청주시,서오창테크노밸리,902,471,2020-08-28,,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,충남,예산군,예산제2일반산업단지,1120,676,2020-09-21,,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,경남,창원시,덕산일반산업단지,250,143,2020-09-29,,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,전북,김제시,백구일반산업단지,336,258,2020-10-16,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,경기,이천시,남이천일반산업단지,55,46,2020-10-22,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
도시첨단,대전,대덕구,한남대캠퍼스혁신파크 도시첨단산업단지,31,20,2020-10-27,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
도시첨단,경기,안산시,한양대에리카캠퍼스혁신파크 도시첨단산업단지,79,49,2020-10-27,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
농공,강원,춘천시,퇴계제2농공단지,91,57,2020-10-29,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,서울,강동구,강동일반산업단지,78,27,2020-11-12,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,경북,상주시,상주일반산업단지,393,231,2020-11-12,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,충북,청주시,오송화장품산업단지,795,370,2020-11-13,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,충북,청주시,청주하이테크밸리산업단지,1003,665,2020-11-20,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,충남,천안시,천안테크노파크일반산업단지,914,590,2020-11-30,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
농공,충북,증평군,도안2농공단지,133,101,2020-12-04,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,충북,청주시,북이산업단지,1012,613,2020-12-11,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
일반,충남,아산시,음봉일반산업단지,421,227,2020-12-30,,한국산업단지공단_전국산업단지현황통계_20201231.xlsx
도시첨단,강원,춘천시,강원대캠퍼스혁신파크도시첨단산업단지,67,28,2021-01-11,,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
농공,전남,영광군,묘량농공단지,214,123,2021-01-28,,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,경남,의령군,부림일반산업단지,352,184,2021-02-25,,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,경남,함안군,군북일반산업단지,818,471,2021-03-04,,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,경기,용인시,용인반도체클러스터일반산업단지,4154,2447,2021-03-29,,한국산업단지공단_전국산업단지현황통계_20210331.xlsx
일반,경기,안성시,안성테크노밸리일반산업단지,765,450,2021-04-09,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
농공,전북,임실군,오수제2농공단지,171,110,2021-05-07,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,경기,용인시,백암일반산업단지,50,34,2021-05-28,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,경북,경주시,외동3일반산업단지,110,63,2021-06-21,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,경북,경주시,혁신원자력연구단지,2200,808,2021-06-28,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,세종,세종시,세종복합일반산업단지,829,472,2021-06-30,,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,충남,천안시,풍세2일반산업단지,345,233,2021-08-23,,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
