complex_id,complex_name,lawd_cd,region,project_name,project_type,option_stage,option_stage_label,stage_verification,stage_source,stage_label_raw,match_meters,existing_far,existing_households,site_area,land_share,base_allowed_far,policy_allowed_far,upside_allowed_far,estimated_new_households,member_households,general_sale_units,general_sale_ratio,estimated_member_contribution,contribution_status,years_to_next_stage,years_to_completion,project_probability,probability_status,base_case_liquid_exit,project_case_liquid_exit,upside_case_liquid_exit,base_terminal_wealth,project_terminal_wealth,upside_terminal_wealth,net_project_upside,option_value,option_already_priced_ratio,option_data_confidence,option_research_status,option_research_priority
4214,잠실르엘,11710,서울,잠실미성·크로바아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,90.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3855,잠원신화,11650,서울,잠원동 대림아파트 주택재건축 정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,68.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
1616,장안현대힐스테이트,11230,서울,장안시영2단지2차 주택재건축정비사업 조합 청산법인,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,119.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4018,청담르엘,11680,서울,청담삼익아파트 재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,40.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
2959,코오롱하늘채아파트,11500,서울,태원연립주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,105.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4454,프라이어팰리스,11740,서울,강동2단지아파트 재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,147.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
2563,홍제한양,11410,서울,서강빌라 소규모재건축정비사업,소규모재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,35.2,236.0314380797281,N/A,N/A,42.45390781563126,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3727,힐스테이트뉴포레,11620,서울,강남아파트 재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,43.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
933,석남브라운스톤더프라임,28275,인천,롯데우람재건축,주택재건축,8,NEAR_COMPLETE,VERIFIED,인천 renewal 정비사업 현황,준공,55.7,N/A,689.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
710,작전 동보2차 아파트,28245,인천,작전구역(현지개량),주거환경개선,8,NEAR_COMPLETE,PROXY_MATCH,인천 renewal 정비사업 현황,준공,200.1,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,LOW,STAGE_MAPPED_ONLY,HIGH
