follower_id,follower_band,leader_id,leader_band,kind,months,current_ratio,hist_p10,hist_p25,hist_median,hist_p75,hist_p90,regime_now,regime_normal,normal_used,normal_basis,observed_gap,structural_gap,recoverable_gap,structural_flags,episodes,successes,transmission_p,transmission_status,catchup_median,leader_move,follower_start,mispricing,mispricing_status,size_premium,follower_name,leader_name
3542,59,3553,74,BUYER_CHOICE,81,0.8080808080808081,0.6946531204644412,0.7103773584905659,0.7399012253645809,0.775,0.8080808080808081,하락전환,0.8009708737864077,0.8009708737864077,현 국면(하락전환) 과거 중앙값,-0.008876645240281615,0.0,0.0,최근 철도 개통(과거 비율 신뢰도 하향),2,2,1.0,PROXY,2.0,PARTIAL,P25↑|Median↑|거래량↑,0.0,PROXY(구조 플래그),0.983536207963689,노량진쌍용예가,상도파크자이 아파트
3542,84,1280,84,UPPER_GRADE,147,0.6016914498141264,0.5793141486810551,0.6008928571428571,0.6221856638773255,0.6655038759689922,0.716437293729373,하락전환,0.6177777777777778,0.6177777777777778,현 국면(하락전환) 과거 중앙값,0.02603902008504722,0.0,0.02603902008504722,,3,3,1.0,VERIFIED,2.0,NONE,,0.002603902008504722,VERIFIED,,노량진쌍용예가,한강대우
3542,84,3553,74,BUYER_CHOICE,79,0.8263888888888888,0.7737603086568604,0.8203626308679499,0.8464003746821892,0.8884770642201835,0.9158565078454529,하락전환,0.8820926088044022,0.8820926088044022,현 국면(하락전환) 과거 중앙값,0.06314951441551561,0.006314951441551558,0.05683456297396405,최근 철도 개통(과거 비율 신뢰도 하향),3,3,1.0,VERIFIED,2.0,PARTIAL,,0.009946048520443708,PROXY(구조 플래그),1.401358577829166,노량진쌍용예가,상도파크자이 아파트
3541,59,3543,59,LOCAL,236,0.9489305859330033,0.9393694025272973,0.9607686148919136,0.978448275862069,0.9956427015250545,1.0225009529687246,하락전환,0.9669218151995627,0.9669218151995627,현 국면(하락전환) 과거 중앙값,0.01860670530310269,0.0,0.01860670530310269,,5,4,0.8,VERIFIED,2.0,PARTIAL,P25↑|Median↑|거래량↑|Gap 축소,0.005209877484868753,VERIFIED,,노량진우성,신동아리버파크
3541,59,2623,59,GRADE,145,0.6565794135884488,0.5373119469026548,0.5533980582524272,0.5750156985871271,0.5976532351024909,0.650974025974026,하락전환,0.5982711555959963,0.5982711555959963,현 국면(하락전환) 과거 중앙값,-0.09746125556457087,0.0,0.0,연식·상품성 격차|세대수(대단지) 격차,5,5,1.0,VERIFIED,2.0,PARTIAL,P25↑|Median↑|거래량↑|Gap 축소,0.0,PROXY(구조 플래그),,노량진우성,마포래미안푸르지오
3541,59,1282,59,UPPER_GRADE,239,0.5592454929175854,0.5065741448181441,0.524961609472918,0.5506347301766557,0.5682943798495318,0.588582149767726,하락전환,0.5357874059318282,0.5357874059318282,현 국면(하락전환) 과거 중앙값,-0.04378245312608556,0.0,0.0,,6,5,0.8333333333333334,VERIFIED,1.8468,PARTIAL,P25↑|Median↑|거래량↑|Gap 축소,0.0,VERIFIED,,노량진우성,한가람아파트
3541,84,3588,84,LOCAL,70,,0.4327547452547453,0.4468744386563679,0.4736094497607656,0.5085872289361341,0.5403921083554951,하락전환,,0.4736094497607656,장기 중앙값(과열 월 제외),,,,연식·상품성 격차,2,2,1.0,PROXY,0.9742500000000001,UNKNOWN,P25↑|Median↑,,NOT_CALCULATED,,노량진우성,아크로 리버하임
3541,84,1280,84,UPPER_GRADE,220,0.5894560900108838,0.4817171251257967,0.5012531328320802,0.5267558528428093,0.5474254742547425,0.5823994528043775,하락전환,0.5410274920031123,0.5410274920031123,현 국면(하락전환) 과거 중앙값,-0.08951226827396225,0.0,0.0,,6,5,0.8333333333333334,VERIFIED,2.0,NONE,P25↑|Median↑|Gap 축소,0.0,VERIFIED,,노량진우성,한강대우
3541,84,3553,74,BUYER_CHOICE,89,0.7718446601941747,0.6554875631678319,0.6740027510316369,0.7054684583799925,0.7411749999999999,0.7778210116731518,하락전환,0.7439375937968984,0.7439375937968984,현 국면(하락전환) 과거 중앙값,-0.03751264438035005,0.0,0.0,연식·상품성 격차|최근 철도 개통(과거 비율 신뢰도 하향),3,3,1.0,VERIFIED,2.0,PARTIAL,P25↑|Median↑|Gap 축소,0.0,PROXY(구조 플래그),1.462821673347989,노량진우성,상도파크자이 아파트
2238,59,2304,59,LOCAL,62,1.715533476485497,1.4195712954333644,1.5354838709677419,1.6161616161616161,1.6565656565656566,1.7140858208955223,상승초기,1.635,1.635,현 국면(상승초기) 과거 중앙값,-0.04925594892079329,0.0,0.0,,1,1,1.0,PROXY,1.7266,CONFIRMED,P25↑|Median↑|거래량↑|Gap 축소,0.0,PROXY,,노원 센트럴푸르지오,상계은빛1단지
