ym,sido,sigungu,lawd_cd,level,unsold
200703,강원,계,,시도,5801
200703,충북,계,,시도,2565
200703,충남,계,,시도,7446
200703,전북,계,,시도,5184
200703,전남,계,,시도,4887
200703,경북,계,,시도,5854
200703,경남,계,,시도,11328
200703,제주,계,,시도,188
200704,서울,계,,시도,685
200704,서울,종로구,11110,시군구,
200704,서울,중구,11140,시군구,
200704,서울,용산구,11170,시군구,
200704,서울,성동구,11200,시군구,
200704,서울,광진구,11215,시군구,187
200704,서울,동대문구,11230,시군구,
200704,서울,중랑구,11260,시군구,
200704,서울,성북구,11290,시군구,404
200704,서울,강북구,11305,시군구,
200704,서울,도봉구,11320,시군구,
200704,서울,노원구,11350,시군구,
200704,서울,은평구,11380,시군구,
200704,서울,서대문구,11410,시군구,
200704,서울,마포구,11440,시군구,
200704,서울,양천구,11470,시군구,94
200704,서울,강서구,11500,시군구,
200704,서울,구로구,11530,시군구,
200704,서울,금천구,11545,시군구,
200704,서울,영등포구,11560,시군구,
200704,서울,동작구,11590,시군구,
200704,서울,관악구,11620,시군구,
200704,서울,서초구,11650,시군구,
200704,서울,강남구,11680,시군구,
200704,서울,송파구,11710,시군구,
200704,서울,강동구,11740,시군구,
200704,부산,계,,시도,8074
200704,대구,계,,시도,9009
200704,인천,계,,시도,219
200704,인천,중구,28110,시군구,0
200704,인천,동구,28140,시군구,0
200704,인천,미추홀구,28177,시군구,0
200704,인천,연수구,28185,시군구,0
200704,인천,남동구,28200,시군구,15
200704,인천,부평구,28237,시군구,38
200704,인천,계양구,28245,시군구,2
200704,인천,서구,28260,시군구,163
200704,인천,강화군,28710,시군구,1
200704,인천,옹진군,28720,시군구,
200704,광주,계,,시도,5829
200704,대전,계,,시도,1020
200704,울산,계,,시도,1521
200704,경기,계,,시도,2488
200704,경기,수원시,41111,시(구 합산),73
200704,경기,수원시,41113,시(구 합산),73
200704,경기,수원시,41115,시(구 합산),73
200704,경기,수원시,41117,시(구 합산),73
200704,경기,성남시,41131,시(구 합산),0
200704,경기,성남시,41133,시(구 합산),0
200704,경기,성남시,41135,시(구 합산),0
200704,경기,의정부시,41150,시군구,105
200704,경기,안양시,41171,시(구 합산),0
200704,경기,안양시,41173,시(구 합산),0
200704,경기,부천시,41192,시(구 합산),87
200704,경기,부천시,41194,시(구 합산),87
200704,경기,부천시,41196,시(구 합산),87
200704,경기,부천시,41190,시(구 합산),87
200704,경기,광명시,41210,시군구,0
200704,경기,평택시,41220,시군구,218
200704,경기,동두천시,41250,시군구,3
200704,경기,안산시,41271,시(구 합산),0
200704,경기,안산시,41273,시(구 합산),0
200704,경기,고양시,41281,시(구 합산),0
200704,경기,고양시,41285,시(구 합산),0
200704,경기,고양시,41287,시(구 합산),0
200704,경기,과천시,41290,시군구,0
200704,경기,구리시,41310,시군구,21
200704,경기,남양주시,41360,시군구,123
200704,경기,오산시,41370,시군구,0
200704,경기,시흥시,41390,시군구,25
200704,경기,군포시,41410,시군구,0
200704,경기,의왕시,41430,시군구,0
200704,경기,하남시,41450,시군구,0
200704,경기,용인시,41461,시(구 합산),0
200704,경기,용인시,41463,시(구 합산),0
200704,경기,용인시,41465,시(구 합산),0
200704,경기,파주시,41480,시군구,0
200704,경기,이천시,41500,시군구,218
200704,경기,안성시,41550,시군구,569
200704,경기,김포시,41570,시군구,38
200704,경기,양주시,41630,시군구,211
200704,경기,여주시,41670,시군구,131
200704,경기,화성시,41591,시(구 합산),98
200704,경기,화성시,41593,시(구 합산),98
200704,경기,화성시,41595,시(구 합산),98
200704,경기,화성시,41597,시(구 합산),98
200704,경기,화성시,41590,시(구 합산),98
200704,경기,광주시,41610,시군구,
200704,경기,연천군,41800,시군구,337
200704,경기,포천시,41650,시군구,231
200704,경기,가평군,41820,시군구,
200704,경기,양평군,41830,시군구,
200704,강원,계,,시도,5460
200704,충북,계,,시도,3632
200704,충남,계,,시도,8250
200704,전북,계,,시도,4812
200704,전남,계,,시도,4664
200704,경북,계,,시도,5419
200704,경남,계,,시도,12149
200704,제주,계,,시도,162
200705,서울,계,,시도,704
200705,서울,종로구,11110,시군구,19
200705,서울,중구,11140,시군구,
200705,서울,용산구,11170,시군구,
200705,서울,성동구,11200,시군구,
200705,서울,광진구,11215,시군구,187
200705,서울,동대문구,11230,시군구,
200705,서울,중랑구,11260,시군구,
200705,서울,성북구,11290,시군구,404
200705,서울,강북구,11305,시군구,
200705,서울,도봉구,11320,시군구,
200705,서울,노원구,11350,시군구,
200705,서울,은평구,11380,시군구,
200705,서울,서대문구,11410,시군구,
200705,서울,마포구,11440,시군구,
200705,서울,양천구,11470,시군구,94
200705,서울,강서구,11500,시군구,
200705,서울,구로구,11530,시군구,
200705,서울,금천구,11545,시군구,
200705,서울,영등포구,11560,시군구,
200705,서울,동작구,11590,시군구,
200705,서울,관악구,11620,시군구,
200705,서울,서초구,11650,시군구,
200705,서울,강남구,11680,시군구,
200705,서울,송파구,11710,시군구,
200705,서울,강동구,11740,시군구,
200705,부산,계,,시도,7964
200705,대구,계,,시도,10888
200705,인천,계,,시도,362
200705,인천,중구,28110,시군구,0
200705,인천,동구,28140,시군구,0
200705,인천,미추홀구,28177,시군구,167
200705,인천,연수구,28185,시군구,0
200705,인천,남동구,28200,시군구,10
200705,인천,부평구,28237,시군구,37
200705,인천,계양구,28245,시군구,2
200705,인천,서구,28260,시군구,144
200705,인천,강화군,28710,시군구,2
200705,인천,옹진군,28720,시군구,
200705,광주,계,,시도,7842
200705,대전,계,,시도,957
200705,울산,계,,시도,1500
200705,경기,계,,시도,2488
200705,경기,수원시,41111,시(구 합산),73
200705,경기,수원시,41113,시(구 합산),73
200705,경기,수원시,41115,시(구 합산),73
200705,경기,수원시,41117,시(구 합산),73
200705,경기,성남시,41131,시(구 합산),0
200705,경기,성남시,41133,시(구 합산),0
200705,경기,성남시,41135,시(구 합산),0
