no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
58,제물포구,주거환경개선,준공,송희마을(현지개량),송림동 4-237번지 일원,BARA_0000000000480,송림동 4-237번지 일원,0,20210705,,,20220729,,20230816,20251230
57,제물포구,주거환경개선,준공,쇠뿔고개(현지개량),창영동 21-15번지 일원,BARA_0000000000482,창영동 21-15번지 일원,0,20220411,,,20220812,,20220825,20241230
56,미추홀구,주택재개발,준공,숭의3구역,숭의동 18번지 일원,BARA_0000000000035,"숭의4동 18번지 일원(32,950)",658,20080630,20061222,20081024,20100701,20210913,20231026,20260703
55,미추홀구,주택재개발,조합설립인가,숭의5구역,숭의2동 장천로 48번길 일원,BARA_0000000000036,숭의2동 장천로 48번길 일원,565,20080707,20060824,20081016,,,,
54,남동구,주택재건축,정비구역지정,신세계아파트,구월동 342-1번지 일원,BARA_0000000000557,,,,,,,,,
53,부평구,주택재개발,관리처분,신촌구역,부평동 283-66번지 일원,BARA_0000000000121,"부평동 283-66번지 일원(129,300)",2298,20151123,20060303,20181121,20230925,20251215,,
52,서해구,주택재개발,정비구역지정,신현동287-58번지일원 / 정비구역후보지(23년 2차),신현동 287-58번지 일원,BARA_0000000000477,신현동 287-58번지 일원,1,20260706,,,,,,
51,서해구,주거환경개선,준공,신현원마을(현지개량),새오개로 48번길 일원,BARA_0000000000494,새오개로 48번길 일원,0,20210712,,,20221212,,20221229,20241231
50,부평구,주택재개발,관리처분,십정3구역,십정동 432번지 일원,BARA_0000000000112,"십정동 432번지(34,271)",761,20060824,20081013,20081119,20200629,20210817,,
49,부평구,주택재개발,관리처분,십정4구역,십정동 166-1번지 일원,BARA_0000000000310,"십정동 166-1번지 일원(45,139.5)",967,20081215,20060824,20090220,20111010,20240715,,
48,부평구,주택재개발,관리처분,십정5구역,십정동 460-22번지 일원,BARA_0000000000114,"십정동 460-22번지 일원(92,954)",2217,20200602,20070220,20120619,20200929,20221129,,
47,부평구,주택재개발,정비구역지정,십정초주변 / 정비구역후보지(23년 2차),십정동 355-1번지 일원,BARA_0000000000464,십정동 355-1번지 일원,1,,,,,,,
46,미추홀구,주택재개발,착공,여의구역,숭의동 34-4번지 일원,BARA_0000000000061,"숭의동 232번지 일원(61,200)",1112,20090119,20070305,20090518,20120618,20200622,20211029,
45,연수구,주거환경개선,착공,연수1동(현지개량),연수동 554-6번지 일원,BARA_0000000000511,연수동 554-6번지 일원,0,20241230,,,,,20250509,
44,연수구,주택재개발,준공,옥련대진빌라주변구역,옥련동 271-17번지 일원,BARA_0000000000084,"옥련동 271-17번지 일원(8,548)",218,20091109,20080605,20100628,20110916,20210504,20221107,20250623
43,강화군,주거환경개선,준공,온수리마을(현지개량),길상면 온수리 502-3번지,BARA_0000000000496,길상면 온수리 502-3번지,0,20200921,,,20210310,,20211213,20240108
42,미추홀구,주거환경개선,착공,용마루구역,용현동 528번지 일원,BARA_0000000000065,용현동 528번지 일원,1,20060410,,,20071231,,20210113,
41,미추홀구,주거환경개선,준공,용일사거리남동측(현지개량),한나루로 490번길 일원,BARA_0000000000484,한나루로 490번길 일원,0,20220411,,,20220612,,20240215,20251229
40,미추홀구,주택재개발,조합설립인가,용현4구역,용현동 155번지 일원,BARA_0000000000062,용현동 155번지 일원,2,20100222,20070704,20101220,20260119,,,
39,미추홀구,주거환경개선,준공,용현5(현지개량),수봉로 130 일원,BARA_0000000000483,수봉로 130 일원,0,20211108,,,20220612,,20220502,20241105
38,남동구,주택재개발,정비구역지정,우신 / 정비구역후보지(23년 2차),간석동 191-4번지 일원,BARA_0000000000456,간석동 191-4번지 일원,1,,,,,,,
37,제물포구,주거환경개선,착공,월남촌 사랑마을(현지개량),중구 유동 8-5번지 일원,BARA_0000000000505,중구 유동 8-5번지 일원,0,20240617,,,,,20240805,
36,제물포구,주택재개발,정비구역지정,율목동 / 정비구역후보지(23년 2차),율목동 162-1 번지 일원,BARA_0000000000436,율목동 162-1 번지 일원,1,,,,,,,
35,남동구,주거환경개선,착공,인수마을(현지개량),남동구 인수북로 14번길 일원,BARA_0000000000506,남동구 인수북로 14번길 일원,0,20240429,,,,,20250203,
34,제물포구,주택재개발,착공,인천여상주변구역,사동 23-4번지 일원,BARA_0000000000013,"사동 24번지 일원(20,626)",667,20081027,20060901,20090413,20200525,20210830,20241126,
