emd_cd10,sido_cd,sgg_cd,ym,workplaces,insured,notice_amount,file
4150025329,41,41500,2026-0,26,303,91957220, 내역_20260825
1117013200,11,11170,2026-0,53,1743,780826820, 내역_20260825
1111013400,11,11110,2026-0,67,1107,383426480, 내역_20260825
1111015600,11,11110,2026-0,36,456,153145380, 내역_20260825
1120010300,11,11200,2026-0,49,737,232181380, 내역_20260825
1111016600,11,11110,2026-0,82,2205,786885280, 내역_20260825
1111016800,11,11110,2026-0,160,1994,616009480, 내역_20260825
1141011600,11,11410,2026-0,196,2165,636615260, 내역_20260825
4157010400,41,41570,2026-0,519,5087,1578039020, 내역_20260825
1111013600,11,11110,2026-0,109,4070,1505331060, 내역_20260825
1153010800,11,11530,2026-0,176,2145,641056060, 내역_20260825
1111013500,11,11110,2026-0,124,3551,1465123660, 내역_20260825
1138010200,11,11380,2026-0,200,2706,782954440, 내역_20260825
1150010800,11,11500,2026-0,196,19832,11200309500, 내역_20260825
4146126229,41,41461,2026-0,131,1454,483373340, 내역_20260825
1114016700,11,11140,2026-0,115,3987,1752473300, 내역_20260825
4146110500,41,41461,2026-0,148,3258,1227608880, 내역_20260825
1114016800,11,11140,2026-0,213,44641,17817670940, 내역_20260825
1111012500,11,11110,2026-0,88,6490,3424119500, 내역_20260825
1114015500,11,11140,2026-0,105,910,292480960, 내역_20260825
1111012700,11,11110,2026-0,70,9767,5195579780, 내역_20260825
1114012700,11,11140,2026-0,111,2453,717302620, 내역_20260825
1144012100,11,11440,2026-0,652,10345,3641035600, 내역_20260825
1111017400,11,11110,2026-0,126,1453,452132500, 내역_20260825
1111018600,11,11110,2026-0,11,125,38451520, 내역_20260825
1111011500,11,11110,2026-0,27,414,147053300, 내역_20260825
1111011700,11,11110,2026-0,169,2815,1010539320, 내역_20260825
4143010200,41,41430,2026-0,91,1132,410829060, 내역_20260825
1114011200,11,11140,2026-0,91,2886,1214667360, 내역_20260825
1111017700,11,11110,2026-0,22,4193,2088131860, 내역_20260825
1156010300,11,11560,2026-0,135,2188,781116140, 내역_20260825
4159711300,41,41597,2026-0,271,14959,6139402280, 내역_20260825
4146125323,41,41461,2026-0,137,1193,390148040, 내역_20260825
4161011600,41,41610,2026-0,100,1723,633130060, 내역_20260825
1114011900,11,11140,2026-0,44,1961,911123040, 내역_20260825
4146310300,41,41463,2026-0,83,956,320407100, 내역_20260825
4157034030,41,41570,2026-0,185,1884,651900840, 내역_20260825
4159131025,41,41591,2026-0,286,4549,1742207740, 내역_20260825
4113110800,41,41131,2026-0,572,8556,2967062500, 내역_20260825
1114012200,11,11140,2026-0,51,4178,2022896460, 내역_20260825
1171010100,11,11710,2026-0,671,13333,4613791540, 내역_20260825
1111017500,11,11110,2026-0,127,1174,359176160, 내역_20260825
1111011900,11,11110,2026-0,108,8132,3709157160, 내역_20260825
