complex_id,pnu,bldNm,platArea,archArea,totArea,vlRatEstmTotArea,vlRat,bcRat,hhldCnt,mainBldCnt,useAprDay,n_items
1553,1123010300112120000,한신아파트,36050.3,7080.8,151164.61,108350.5,300.55,19.64,1070,14,20040511,1
1559,1123010400106200179,,,,,,,,,,,0
1563,1123010400106900000,래미안 크레시티,105888.2,24041.4,370092.598,252555.17,238.51,22.7,2397,34,20141023,1
1565,1123010400100060000,전농우성아파트,0,0.0,139068.22,0.0,0,0,1234,18, ,1
1566,1123010400100100000,전농 SK아파트,72738.8,14601.938,254284.496,200069.709,275.05,20.07,2007,21, ,1
1580,1123010500110130000,래미안 미드카운티,38768.9,8218.8,144294.33,97457.29,251.38,21.2,1009,12, ,1
1587,1123010500110030000,래미안위브,113219.5,25732.69,404825.48,274371.14,242.34,22.73,2652,36, ,1
1589,1123010500100800000,답십리청솔우성아파트,50959.6,10191.75,176314.41,132485.6,258.08,19.85,1599,18, ,1
1617,1123010600103290003,래미안장안2차아파트,61232.65,11885.81,255680.9,183534.13,299.73,19.41,1786,28,20070628,1
1618,1123010600103360000,장안현대홈타운,81130.5,17056.42,366425.36,249985.91,308.12,21.02,2264,25,20031028,1
1627,1123010700102350001, ,0,0.0,59179.56,0.0,0,0,423,4, ,1
1640,1123010900100570000,휘경리오포레아파트,76418.1,15549.762,293106.37,196511.97,257.15,20.35,2042,23, ,1
1652,1123011000101340040,,,,,,,,,,,0
1665,1123011000100640000,쌍용아파트,37896.7,8584.32,178002.91,130043.27,343.15,22.65,1368,17, ,1
1666,1123011000102250000,이문e편한세상아파트,57718.8,10030.006,204146.63,145194.132,251.554,17.377,1378,19,20030709,1
1676,1126010100115450000,사가정 센트럴 아이파크,55326.5,10036.874,244759.145,165566.329,299.25,18.14,1505,13,20200730,1
1686,1126010100101930001, ,0,8212.45,92635.64,91998.6,0,0,1169,15,19871230,1
1719,1126010600107850000, ,0,0.0,71664.45,0.0,0,0,397,4, ,1
1721,1126010200104810000,신내아파트,20569.2,4349.82,48793.25,0.0,0,21.147249,1000,9, ,1
1730,1126010300104500000,"한신아파트,상가동,유치원동",36645.3,7614.61,173785.36,0.0,376.21,20.77,1544,11, ,1
1747,1126010400100130000,신내아파트,35722,7688.53,81741.75,68184.32,190.87,21.52,1070,13, ,1
1748,1126010400100200000,신내두산·대림아파트,82512,20095.69,214637.11,0.0,198.63,24.35,1244,34, ,1
1760,1126010500106080000,LH서울양원1단지,30278.9,5238.62,72724.61,56979.91,188.18,17.3,1216,5,20220124,1
1784,1126010600108170000,신내 데시앙포레,108163,20204.2,267015.06,186245.48,172.19,18.68,1896,24,20131211,1
1785,1126010600108160000,신내우디안1단지,72608,14171.97,190866.39,134182.32,184.8,19.52,1402,18,20140618,1
1786,1126010600106500000,신내아파트,57572,11909.508,130433.86,107808.64,187.26,20.69,1609,16, ,1
1788,1126010600103170000,데시앙,73810.1,12386.637,170686.849,131774.917,178.53,16.78,1326,16,20100108,1
1793,1126010600200670013,,,,,,,,,,,0
1801,1126010600106570000,신내아파트,49639.3,9474.59,105706.48,93511.37,188.38,19.086872,1650,15, ,1
1802,1126010600106600000,신내아파트,32908.2,5817.78,69173.52,61797.225,187.79,17.68,1430,9, ,1
1811,1129010300106090001,"한신,한진아파트",183281,36779.86,579313.272,506303.17,0,20.06747,4515,41, ,1
1817,1129010300100150002, ,0,2404.07,40865.5,33351.48,0,0,736,4, ,1
1818,1129010300106360000,브라운스톤 돈암 아파트,46819.6,8911.25,157228.89,111753.19,238.69,19.03,1074,19,20041218,1
1837,1129012800104580000,보문파크뷰자이,43084.9,9217.77,166764.73,102467.01,237.83,21.39,1186,18,20170118,1
1850,1129013300102390000,정릉풍림아이원,76954.1,17332.0,280942.28,197760.42,256.98,22.52,1971,31,20051228,1
1871,1129013400112890000,롯데캐슬 클라시아,70584.2,13250.6449,288555.0018,187356.2104,265.44,18.77,2029,21,20220127,1
1872,1129013400112880000,래미안길음센터피스,71314.3,15643.06,312313.04,213876.16,299.9,21.94,2352,27,20191129,1
1879,1129013400112810000,e편한세상 길음뉴타운4단지,69327.4,13571.63,237075.15,170878.8,246.48,19.58,1605,25,20050420,1
1880,1129013400112800000,길음뉴타운,72580,12431.59,260853.16,184656.14,254.41,17.13,1634,28,20050420,1
1881,1129013400112840000,길음뉴타운,72164,13838.82,239660.11,161132.03,223.29,19.18,1497,26,20100630,1
1884,1129013400112860000,길음뉴타운,46426.5,10472.25,173919.43,112220.16,241.72,22.56,1012,17,20100930,1
1887,1129013400112790001,,,,,,,,,,,0
1889,1129013400112780000,길음동동부센트레빌아파트,53316.5,11237.278,203198.23,143856.787,269.82,21.08,1377,20,20030331,1
1898,1129013500101040001,종암에스케이아파트,0,10879.29,143220.84,136778.43,369.24,25.78,1320,8, ,1
1907,1129013500100800000,래미안 크리시엘,47820.5,8285.83,155906.43,113931.77,238.25,17.33,1168,17,20040924,1
1920,1129013600102250000,래미안월곡아파트,59967.4,9904.453,206644.683,144748.723,241.38,16.52,1372,26,20060719,1
1921,1129013600102220000,월곡두산위브아파트,89062,17914.598,368906.384,248928.182,279.5,20.11,2197,32,20030430,1
1928,1129013700101010000,동아 에코빌 아파트,50135,10347.19,183790.69,141034.12,281.31,20.64,1531,18,20030627,1
1933,1129013800103230000,꿈의숲 아이파크,62989.2,13174.35,258102.65,166885.87,264.94,20.92,1711,26,20220713,1
1935,1129013800103200000,래미안 장위 퍼스트하이,57028,11349.44,234586.33,155604.85,272.86,19.9,1562,19,20201103,1
