bnhhSe,cddcCode,cddcNm,changeDate,creatDate,edcSport,edcSportNm,fondDate,fondType,insttCode,insttNm,latitude,lnmadr,longitude,operSttus,rdnmadr,referenceDate,schoolId,schoolNm,schoolSe
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7321000,인천광역시남부교육지원청,1939-04-10,공립,B554398,한국교육시설안전원,37.44706316,인천광역시 미추홀구 학익동 330-1,126.6586364,운영,인천광역시 미추홀구 한나루로403번길 122,2026-03-20,B000002990,인천학익초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7561000,경기도의정부교육지원청,2010-03-01,공립,B554398,한국교육시설안전원,37.72846023,경기도 의정부시 신곡동 248-36,127.0678813,운영,경기도 의정부시 동일로454번길 150,2026-03-20,B000012712,발곡고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7679000,경기도화성오산교육지원청,1997-03-01,공립,B554398,한국교육시설안전원,37.13552905,경기도 오산시 원동 805,127.0697217,운영,경기도 오산시 오산로 92,2026-03-20,B000004240,원동초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7361000,인천광역시서부교육지원청,1999-03-01,공립,B554398,한국교육시설안전원,37.57941676,인천광역시 서구 백석동 65-3,126.6742445,운영,인천광역시 서구 서곶로 695,2026-03-20,B000008871,백석중학교,중학교
본교,7480000,울산광역시교육청,2025-10-25,2013-11-29,7501000,울산광역시강남교육지원청,1968-03-16,공립,B554398,한국교육시설안전원,35.53321026,울산광역시 남구 신정동 1632-1,129.2996361,운영,울산광역시 남구 문수로 426,2026-03-20,B000009100,학성중학교,중학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8761000,경상북도포항교육지원청,1994-03-07,사립,B554398,한국교육시설안전원,36.05945253,경상북도 포항시 북구 우현동 산63-10,129.351381,운영,경상북도 포항시 북구 소티재로 107,2026-03-20,B000010694,포항영신중학교,중학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7561000,경기도의정부교육지원청,1964-03-20,공립,B554398,한국교육시설안전원,37.75607169,경기도 의정부시 금오동 234-47,127.0658327,운영,경기도 의정부시 천보로 418,2026-03-20,B000004645,금오초등학교,초등학교
본교,8000000,충청북도교육청,2025-10-25,2013-11-29,8011000,충청북도청주교육지원청,1944-04-01,공립,B554398,한국교육시설안전원,36.70658201,충청북도 청주시 청원구 오창읍 각리 646-2,127.4246729,운영,충청북도 청주시 청원구 오창읍 오창중앙로 47-8,2026-03-20,B000005375,각리초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7331000,인천광역시북부교육지원청,1985-09-01,공립,B554398,한국교육시설안전원,37.48385816,인천광역시 부평구 일신동 112-3,126.7423924,운영,인천광역시 부평구 항동로75번길 36,2026-03-20,B000003020,인천일신초등학교,초등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8831000,경상북도상주교육지원청,1945-05-30,공립,B554398,한국교육시설안전원,36.41141033,경상북도 상주시 남성동 150-2,128.1600204,운영,경상북도 상주시 상산로 222,2026-03-20,B000010825,상주여자중학교,중학교
